gene1	gene2	rho	p.value	FDR	limited
1	Meg3	Snhg11	0.753302652486213	1.999998000002e-06	6.13427958000613e-05	TRUE
2	Malat1	Meg3	0.672500145854139	1.999998000002e-06	6.13427958000613e-05	TRUE
3	Tubb4a	Snap47	0.66911770257424	1.999998000002e-06	6.13427958000613e-05	TRUE
4	Malat1	Snhg11	0.66369261497596	1.999998000002e-06	6.13427958000613e-05	TRUE
5	Meg3	Ncdn	-0.629564805567853	1.999998000002e-06	6.13427958000613e-05	TRUE
6	Leng8	Snhg11	0.626207071695031	1.999998000002e-06	6.13427958000613e-05	TRUE
7	Malat1	Ncdn	-0.62562502788388	1.999998000002e-06	6.13427958000613e-05	TRUE
8	Malat1	Snap47	-0.569245024657929	1.999998000002e-06	6.13427958000613e-05	TRUE
9	Apoe	Cst3	0.568794764351189	1.999998000002e-06	6.13427958000613e-05	TRUE
10	Snhg11	Miat	0.568226447988414	1.999998000002e-06	6.13427958000613e-05	TRUE
11	Malat1	Tubb4a	-0.565434284988692	1.999998000002e-06	6.13427958000613e-05	TRUE
12	2900011O08Rik	Tubb4a	0.54144968718577	1.999998000002e-06	6.13427958000613e-05	TRUE
13	Meg3	Prkar1b	-0.540015168830456	1.999998000002e-06	6.13427958000613e-05	TRUE
14	Malat1	Eif4h	-0.539486662067971	1.999998000002e-06	6.13427958000613e-05	TRUE
15	Nr4a1	Dusp1	0.536767254544643	1.999998000002e-06	6.13427958000613e-05	TRUE
16	Meg3	Miat	0.530208279710488	1.999998000002e-06	6.13427958000613e-05	TRUE
17	Pcp4	Cplx1	0.529506807098464	1.999998000002e-06	6.13427958000613e-05	TRUE
18	Eif4h	Prkar1b	0.526430485917354	1.999998000002e-06	6.13427958000613e-05	TRUE
19	Rgs11	Malat1	0.524982240113663	1.999998000002e-06	6.13427958000613e-05	TRUE
20	Meg3	Eif4h	-0.520541410563958	1.999998000002e-06	6.13427958000613e-05	TRUE
21	2900011O08Rik	Rnf187	0.518936671848778	1.999998000002e-06	6.13427958000613e-05	TRUE
22	Ncald	2900011O08Rik	0.518217353553865	1.999998000002e-06	6.13427958000613e-05	TRUE
23	Rgs11	Meg3	0.512578117760916	1.999998000002e-06	6.13427958000613e-05	TRUE
24	Malat1	Fam131a	-0.511667987933573	1.999998000002e-06	6.13427958000613e-05	TRUE
25	Snap47	Prkar1b	0.507795474746643	1.999998000002e-06	6.13427958000613e-05	TRUE
26	Meg3	Snap47	-0.50609464389283	1.999998000002e-06	6.13427958000613e-05	TRUE
27	Leng8	Miat	0.504990957043382	1.999998000002e-06	6.13427958000613e-05	TRUE
28	Fam131a	Prkar1b	0.501412211251703	1.999998000002e-06	6.13427958000613e-05	TRUE
29	2900011O08Rik	Meg3	-0.500020247986355	1.999998000002e-06	6.13427958000613e-05	TRUE
30	Clip3	Prkar1b	0.496536221588472	1.999998000002e-06	6.13427958000613e-05	TRUE
31	Prkar1b	Ncdn	0.496107925199134	1.999998000002e-06	6.13427958000613e-05	TRUE
32	Lamp5	Calb1	0.493626002532714	1.999998000002e-06	6.13427958000613e-05	TRUE
33	Meg3	Napb	-0.491160552804346	1.999998000002e-06	6.13427958000613e-05	TRUE
34	Snhg11	Ncdn	-0.48871706699338	1.999998000002e-06	6.13427958000613e-05	TRUE
35	Fam131a	Ncdn	0.488696475820816	1.999998000002e-06	6.13427958000613e-05	TRUE
36	3110035E14Rik	Tmem145	-0.486247499030499	1.999998000002e-06	6.13427958000613e-05	TRUE
37	Napb	Ncdn	0.486195334726669	1.999998000002e-06	6.13427958000613e-05	TRUE
38	Pcp4	Fezf2	0.484136217470237	1.999998000002e-06	6.13427958000613e-05	TRUE
39	Rnf187	Tubb4a	0.48244362308545	1.999998000002e-06	6.13427958000613e-05	TRUE
40	Fam131a	Snap47	0.481684495190245	1.999998000002e-06	6.13427958000613e-05	TRUE
41	Nr4a1	Gadd45g	0.480039946874775	1.999998000002e-06	6.13427958000613e-05	TRUE
42	Enpp2	Calb1	0.478006911770257	1.999998000002e-06	6.13427958000613e-05	TRUE
43	Meg3	Tubb4a	-0.477956120211265	1.999998000002e-06	6.13427958000613e-05	TRUE
44	2900011O08Rik	Snap47	0.476927934327887	1.999998000002e-06	6.13427958000613e-05	TRUE
45	Napb	Prkar1b	0.475839347671653	1.999998000002e-06	6.13427958000613e-05	TRUE
46	Tubb4a	Eif4h	0.475588135366368	1.999998000002e-06	6.13427958000613e-05	TRUE
47	Hpcal4	Ncald	0.475568916938642	1.999998000002e-06	6.13427958000613e-05	TRUE
48	Napb	Tubb4a	0.474834498450514	1.999998000002e-06	6.13427958000613e-05	TRUE
49	Pcp4	Calb1	-0.473616873779544	1.999998000002e-06	6.13427958000613e-05	TRUE
50	Aldoc	Cst3	0.471741704331353	1.999998000002e-06	6.13427958000613e-05	TRUE
51	Malat1	Prkar1b	-0.469814370579333	1.999998000002e-06	6.13427958000613e-05	TRUE
52	2900011O08Rik	Eif4h	0.468532226900994	1.999998000002e-06	6.13427958000613e-05	TRUE
53	Adora1	Nrsn1	0.46823434127123	1.999998000002e-06	6.13427958000613e-05	TRUE
54	Malat1	Ncald	-0.465811446632829	1.999998000002e-06	6.13427958000613e-05	TRUE
55	Nr4a1	Fos	0.46574692762546	1.999998000002e-06	6.13427958000613e-05	TRUE
56	Nrsn1	Chgb	0.465027609330547	1.999998000002e-06	6.13427958000613e-05	TRUE
57	Apoe	Aldoc	0.463724874479644	1.999998000002e-06	6.13427958000613e-05	TRUE
58	Meg3	Clip3	-0.462114644785114	1.999998000002e-06	6.13427958000613e-05	TRUE
59	Cnih3	Nrsn1	0.461999334218754	1.999998000002e-06	6.13427958000613e-05	TRUE
60	Napb	Snap47	0.460632080360483	1.999998000002e-06	6.13427958000613e-05	TRUE
61	Snap47	Ncdn	0.460279284937214	1.999998000002e-06	6.13427958000613e-05	TRUE
62	Ncald	Tubb4a	0.459922371279432	1.999998000002e-06	6.13427958000613e-05	TRUE
63	Nr4a1	Cyr61	0.45910421535621	1.999998000002e-06	6.13427958000613e-05	TRUE
64	Pcp4	Rab26	0.458799466002258	1.999998000002e-06	6.13427958000613e-05	TRUE
65	Malat1	2900011O08Rik	-0.458759656401967	1.999998000002e-06	6.13427958000613e-05	TRUE
66	Nr4a1	Arc	0.457091771424257	1.999998000002e-06	6.13427958000613e-05	TRUE
67	Malat1	Clip3	-0.456158304934675	1.999998000002e-06	6.13427958000613e-05	TRUE
68	Malat1	Napb	-0.454079969250516	1.999998000002e-06	6.13427958000613e-05	TRUE
69	Adora1	Chgb	0.453497925439364	1.999998000002e-06	6.13427958000613e-05	TRUE
70	Fos	Gadd45g	0.453392224086867	1.999998000002e-06	6.13427958000613e-05	TRUE
71	Tubb4a	Clip3	0.452602895805235	1.999998000002e-06	6.13427958000613e-05	TRUE
72	Malat1	Miat	0.452381883886378	1.999998000002e-06	6.13427958000613e-05	TRUE
73	Leng8	Meg3	0.450385912892476	1.999998000002e-06	6.13427958000613e-05	TRUE
74	Rnf187	Snap47	0.449263007615302	1.999998000002e-06	6.13427958000613e-05	TRUE
75	Eif4h	Snap47	0.448411905815977	1.999998000002e-06	6.13427958000613e-05	TRUE
76	Napb	Fam131a	0.447946545316023	1.999998000002e-06	6.13427958000613e-05	TRUE
77	Rnf187	Napb	0.447015824316116	1.999998000002e-06	6.13427958000613e-05	TRUE
78	Nptx1	Nptx2	0.444835905513973	1.999998000002e-06	6.13427958000613e-05	TRUE
79	Ncald	Eif4h	0.444649212216056	1.999998000002e-06	6.13427958000613e-05	TRUE
80	Fos	Dusp1	0.441566027310759	1.999998000002e-06	6.13427958000613e-05	TRUE
81	Tubb4a	Prkar1b	0.438945457415739	1.999998000002e-06	6.13427958000613e-05	TRUE
82	Meg3	Fam131a	-0.437033223856933	1.999998000002e-06	6.13427958000613e-05	TRUE
83	Enpp2	Chgb	-0.436968704849564	1.999998000002e-06	6.13427958000613e-05	TRUE
84	Chgb	Tubb4a	0.434144968718577	1.999998000002e-06	6.13427958000613e-05	TRUE
85	Ncald	Snap47	0.433344658478244	1.999998000002e-06	6.13427958000613e-05	TRUE
86	Napb	Clip3	0.431683637224722	1.999998000002e-06	6.13427958000613e-05	TRUE
87	Galnt9	Fezf2	0.430987655592048	1.999998000002e-06	6.13427958000613e-05	TRUE
88	Cpne6	Chgb	-0.429870241294224	1.999998000002e-06	6.13427958000613e-05	TRUE
89	2900011O08Rik	Napb	0.429500972932904	1.999998000002e-06	6.13427958000613e-05	TRUE
90	Snhg11	Prkar1b	-0.428942265783992	1.999998000002e-06	6.13427958000613e-05	TRUE
91	Eif4h	Fam131a	0.427539320559943	1.999998000002e-06	6.13427958000613e-05	TRUE
92	Malat1	Gap43	-0.427131615343169	1.999998000002e-06	6.13427958000613e-05	TRUE
93	Nrsn1	Tubb4a	0.426360132744426	1.999998000002e-06	6.13427958000613e-05	TRUE
94	Dnajc5	Eif4h	0.424843249698854	1.999998000002e-06	6.13427958000613e-05	TRUE
95	Cyr61	Gadd45g	0.424721075408306	1.999998000002e-06	6.13427958000613e-05	TRUE
96	Ncald	Meg3	-0.421219203327533	1.999998000002e-06	6.13427958000613e-05	TRUE
97	Snhg11	Eif4h	-0.421178020982405	1.999998000002e-06	6.13427958000613e-05	TRUE
98	Gap43	Snap47	0.41928226036165	1.999998000002e-06	6.13427958000613e-05	TRUE
99	Rgs11	Tubb4a	-0.418249956243758	1.999998000002e-06	6.13427958000613e-05	TRUE
100	Tubb4a	Ncdn	0.417195688208465	1.999998000002e-06	6.13427958000613e-05	TRUE
101	Rgs11	Snhg11	0.417113323518208	1.999998000002e-06	6.13427958000613e-05	TRUE
102	Pcp4	Cpne6	-0.416590307735074	1.999998000002e-06	6.13427958000613e-05	TRUE
103	Clip3	Snap47	0.415180498786837	1.999998000002e-06	6.13427958000613e-05	TRUE
104	Napb	Eif4h	0.412163205633745	1.999998000002e-06	6.13427958000613e-05	TRUE
105	Rab26	3110035E14Rik	0.409999759769653	1.999998000002e-06	6.13427958000613e-05	TRUE
106	Ncald	Napb	0.40922827717091	1.999998000002e-06	6.13427958000613e-05	TRUE
107	Nrsn1	Snap47	0.409111593859712	1.999998000002e-06	6.13427958000613e-05	TRUE
108	Fam163b	Malat1	-0.406588488848164	1.999998000002e-06	6.13427958000613e-05	TRUE
109	Cpne6	BC005764	0.404387978873457	1.999998000002e-06	6.13427958000613e-05	TRUE
110	Cst3	C1qb	0.403642578426628	1.999998000002e-06	6.13427958000613e-05	TRUE
111	Tubb4a	Fam131a	0.403561586481209	1.999998000002e-06	6.13427958000613e-05	TRUE
112	Nrsn1	Clip3	0.401752308785224	1.999998000002e-06	6.13427958000613e-05	TRUE
113	Fxyd6	Gap43	0.401476387072862	1.999998000002e-06	6.13427958000613e-05	TRUE
114	Ap1b1	Napb	0.396914755977446	1.999998000002e-06	6.13427958000613e-05	TRUE
115	Gap43	Tubb4a	0.396419195091064	1.999998000002e-06	6.13427958000613e-05	TRUE
116	Pcp4	Galnt9	0.395823423831537	1.999998000002e-06	6.13427958000613e-05	TRUE
117	Eif4h	Ncdn	0.395813814617673	1.999998000002e-06	6.13427958000613e-05	TRUE
118	Miat	Ncdn	-0.395112342005649	1.999998000002e-06	6.13427958000613e-05	TRUE
119	Enpp2	Cnih3	-0.394885839107441	1.999998000002e-06	6.13427958000613e-05	TRUE
120	Tollip	Napb	0.39484602950715	1.999998000002e-06	6.13427958000613e-05	TRUE
121	Cyr61	Dusp1	0.393625659346505	1.999998000002e-06	6.13427958000613e-05	TRUE
122	Dnajc5	Prkar1b	0.393298946075151	1.999998000002e-06	6.13427958000613e-05	TRUE
123	Nefl	Tubb4a	0.392519227007382	1.999998000002e-06	6.13427958000613e-05	TRUE
124	Enpp2	Lamp5	0.392362734095893	1.999998000002e-06	6.13427958000613e-05	TRUE
125	Nrsn1	Cplx1	0.392311942536901	1.999998000002e-06	6.13427958000613e-05	TRUE
126	Calb1	Slc30a3	0.390795059491329	1.999998000002e-06	6.13427958000613e-05	TRUE
127	Rnf187	Eif4h	0.390586402276011	1.999998000002e-06	6.13427958000613e-05	TRUE
128	Aamp	Tubb4a	0.390136141969271	1.999998000002e-06	6.13427958000613e-05	TRUE
129	Clip3	Eif4h	0.38950193385429	1.999998000002e-06	6.13427958000613e-05	TRUE
130	Fam163b	Hpcal4	0.389243857824817	1.999998000002e-06	6.13427958000613e-05	TRUE
131	Dnajc5	Clip3	0.388945972195053	1.999998000002e-06	6.13427958000613e-05	TRUE
132	Snhg11	Rn45s	0.388917144553463	1.999998000002e-06	6.13427958000613e-05	TRUE
133	Malat1	Hpcal4	-0.386849790828005	1.999998000002e-06	6.13427958000613e-05	TRUE
134	Nefl	Snap47	0.38667407948879	1.999998000002e-06	6.13427958000613e-05	TRUE
135	Chgb	Snap47	0.385632166157035	1.999998000002e-06	6.13427958000613e-05	TRUE
136	Arc	Fos	0.385527837549376	1.999998000002e-06	6.13427958000613e-05	TRUE
137	Clip3	Ncdn	0.385262897795715	1.999998000002e-06	6.13427958000613e-05	TRUE
138	Pcp4	3110035E14Rik	0.384787928081898	1.999998000002e-06	6.13427958000613e-05	TRUE
