,n_per_clone,area,source,pre_cell_layer,post_cell_layer,p_sis,p_sis_se,p_sis_sim,p_sis_se_sim,p_sis_ci_sim
0,6,0.018869191,Cadwell2019,L2/3,L2/3,0.001297705,0.000950216,0.001367215,0.0010384,0.001870747
1,6,0.018869191,Cadwell2019,L2/3,L4,0,0,0,0,0
2,6,0.018869191,Cadwell2019,L2/3,L5,0.019001363,0.01497478,0.151490868,0.33220393,0.848509132
3,6,0.018869191,Cadwell2019,L4,L2/3,0.006489635,0.002488495,0.00708422,0.003476244,0.005811374
4,6,0.018869191,Cadwell2019,L4,L4,0.003805861,0.001382558,0.004027872,0.001580412,0.002934615
5,6,0.018869191,Cadwell2019,L4,L5,0.019649446,0.015112735,0.152109959,0.331905332,0.847890041
6,6,0.018869191,Cadwell2019,L5,L2/3,0.004166966,0.003738156,0.047232279,0.199808982,0.047232279
7,6,0.018869191,Cadwell2019,L5,L4,1,0,1,0,0
8,6,0.018869191,Cadwell2019,L5,L5,0.000900439,0.000917806,0.000967208,0.001043317,0.001936073
9,6,0.018869191,Yu2009,L2/3,L2/3,0.023504149,0.006576033,0.025416694,0.008522144,0.01547774
10,6,0.018869191,Yu2009,L2/3,L4,0.023504149,0.006576033,0.025422102,0.008650386,0.015472331
11,6,0.018869191,Yu2009,L2/3,L5,0.023504149,0.006576033,0.025414233,0.008661436,0.0154802
12,6,0.018869191,Yu2009,L4,L2/3,0.023504149,0.006576033,0.025414586,0.008704356,0.015479847
13,6,0.018869191,Yu2009,L4,L4,0.023504149,0.006576033,0.025407471,0.008628659,0.015486963
14,6,0.018869191,Yu2009,L4,L5,0.023504149,0.006576033,0.025406403,0.008705003,0.015281465
15,6,0.018869191,Yu2009,L5,L2/3,0.023504149,0.006576033,0.025426985,0.008569701,0.015467449
16,6,0.018869191,Yu2009,L5,L4,0.023504149,0.006576033,0.025431148,0.008553295,0.015463285
17,6,0.018869191,Yu2009,L5,L5,0.023504149,0.006576033,0.025417425,0.008667977,0.015477009
18,6,0.023844083,Cadwell2019,L2/3,L2/3,0.001026434,0.000751788,0.001080041,0.000820787,0.001482102
19,6,0.023844083,Cadwell2019,L2/3,L4,0,0,0,0,0
20,6,0.023844083,Cadwell2019,L2/3,L5,0.015085244,0.011935985,0.148288287,0.334244974,0.851711713
21,6,0.023844083,Cadwell2019,L4,L2/3,0.005138635,0.001973124,0.005610217,0.003211313,0.004614521
22,6,0.023844083,Cadwell2019,L4,L4,0.00301187,0.001094996,0.003187293,0.00125131,0.002339146
